ID,Gender,Program Duration,Year of Student,HSC Percentage,CGPA
11442,Female,4,3,90.54,3.51
11443,Male,5,1,92.9,3.73
11444,Female,4,1,68.45,2.82
11445,Male,4,1,69.69,3.66
11446,Female,4,2,71.45,3.61
11447,Male,4,4,60,1.99
11448,Female,4,3,86.92,2.83
11449,Male,4,2,78.36,2.9
11450,Male,4,3,73.73,2.91
11451,Female,5,2,66.27,2.7
11452,Female,4,3,88.18,3.48
11453,Male,4,2,98.45,3.43
11454,Male,4,3,92.27,3.49
11455,Male,4,1,58.45,2.45
11456,Male,4,1,71.5,2.92
11457,Male,4,4,82.3,3.27
11458,Female,4,1,61.19,3.46
11459,Female,4,2,78.82,2.77
11460,Female,4,2,75.45,2.88
11461,Male,5,3,86,2.55
11462,Male,4,4,63.81,2.58
11463,Male,4,3,84,3.35
11464,Female,4,4,88.6,3.44
11465,Female,4,2,88.45,3.62
11466,Female,4,1,93.63,3.75
11467,Female,4,4,79.54,3.78
11468,Female,4,4,47.56,3.6
11469,Female,4,1,89,3.58
11470,Male,4,1,91.54,3.68
11471,Male,4,2,88.44,1.68
11472,Male,4,1,80,3.3
11473,Male,4,4,89.18,3.92
11474,Female,4,3,63,2.96
11475,Male,4,4,85.18,3.1
11476,Male,4,3,91.36,3.79
11477,Female,4,3,68.63,2.4
11478,Male,5,1,86.27,3.48
11479,Female,4,1,53,2.44
11480,Female,5,2,99.81,2.96
11481,Male,4,4,73.44,3.53
11482,Female,4,3,71,2.42
11483,Male,4,2,91,2.5
11484,Female,4,2,94,3.79
11485,Female,4,1,72.69,3.23
11486,Male,4,3,69.09,3.46
11487,Male,4,2,55,2.89
11488,Female,4,1,96.27,3.85
11489,Male,5,1,96.82,3.87
11490,Female,4,3,82,3.13
11491,Male,5,1,99.45,3.97
11492,Female,4,2,95,2.88
11493,Male,4,2,83.2,2.79
11494,Female,4,4,62.09,3.15
11495,Male,5,2,95.88,2.58
11496,Female,5,2,92.72,2.67
11497,Male,4,3,70.54,2.71
11498,Female,4,1,88.8,3.58
11499,Female,4,1,93.81,3.76
11500,Male,4,1,90,3.62
11501,Female,4,3,77.45,3.55
11502,Female,4,3,69.18,3.43
11503,Male,4,2,84.46,3.3
11504,Male,4,3,87.8,3.55
11505,Female,4,4,83.54,3.71
11506,Male,4,1,60,2.59
11507,Female,4,2,91,3.86
11508,Male,5,1,91.72,3.68
11509,Female,5,2,99.09,2.85
11510,Male,4,1,69.36,3.4
11511,Female,4,1,78.45,3.78
11512,Female,4,1,97.63,3.9
11513,Female,4,3,80.27,3.16
11514,Male,4,3,85.81,3.49
11515,Female,4,4,81.18,3.64
11516,Female,4,3,87.27,3.58
11517,Female,4,3,78.63,3.84
11518,Male,4,2,98.27,3.19
11519,Male,5,2,89.45,2.27
11520,Female,4,3,85.73,3.26
11521,Female,4,1,99.63,3.98
11522,Male,4,2,93.64,2.9
11523,Female,4,2,78.45,3.1
11524,Female,4,3,77,2.63
11525,Female,5,3,87.81,2.77
11526,Female,4,4,57.3,3.81
11527,Male,5,1,93.18,3.74
11528,Male,4,1,97.5,3.9
11529,Male,4,3,81,3.17
11530,Male,4,1,94.63,3.79
11531,Female,4,1,71.81,2.95
11532,Female,4,1,98.18,3.92
11533,Male,4,2,98.81,3.9
11534,Male,4,2,91.89,2.2
11535,Female,4,3,85.81,3.74
11536,Male,4,1,76.63,2.63
11537,Female,4,2,75,3.4
11538,Female,4,4,80,3.62
11539,Male,5,3,92.81,2.87
11540,Female,4,3,93.63,2.67
11541,Female,4,2,99,3.67
11542,Male,4,4,65.91,2.97
11543,Female,4,2,88,3.82
11544,Female,4,1,99.63,3.16
11545,Female,4,2,86.92,3.92
11546,Female,4,1,69,2.24
11547,Male,4,2,53.36,3.59
11548,Male,4,1,84.7,3.23
11549,Male,4,4,62.72,2.3
11550,Female,4,3,89.3,3.77
11551,Male,4,2,88.63,3.43
11552,Female,4,3,63.36,3.13
11553,Female,4,1,95.18,3.81
11554,Male,4,1,74.9,3.06
11555,Female,4,4,89.27,3.3
11556,Male,4,1,95.27,3.81
11557,Female,4,2,99.18,3.85
11558,Male,4,4,95,3.66
11559,Female,4,3,80.9,2.99
11560,Female,4,4,76,3.74
11561,Male,4,1,57.18,3.6
11562,Female,4,3,83.54,3.58
11563,Female,4,1,57.57,2.42
11564,Female,4,2,75.64,3.07
11565,Male,4,2,93,3.08
11566,Female,4,3,83.45,3.37
11567,Female,4,2,74.45,3.26
11568,Male,5,1,99.09,3.96
11569,Male,4,2,84.77,2.93
11570,Female,4,2,53.18,3.47
11571,Female,4,2,93.45,3.49
11572,Female,4,4,73.68,3.31
11573,Female,4,2,91.63,2.44
11574,Female,4,2,80,3.72
11575,Male,4,3,85.09,3.52
11576,Male,4,3,78.64,3.5
11577,Female,5,1,99.27,3.96
11578,Female,4,1,93.54,3.75
11579,Male,4,2,85.91,3.37
11580,Male,4,2,58.72,3.31
11581,Male,4,1,93,3.73
11582,Male,4,2,98.81,3.94
11583,Female,4,2,85.27,2.96
11584,Male,4,1,88,2.14
11585,Male,4,2,51.6,3.01
11586,Female,4,1,95.27,3.81
11587,Male,4,1,73.9,2.58
11588,Male,4,2,89.18,3.09
11589,Male,4,1,88.09,3.55
11590,Male,4,3,82.18,3.39
11591,Male,4,1,64.5,2.54
11592,Female,4,4,85.27,3.56
11593,Female,4,1,97.9,3.91
11594,Male,4,1,92.27,3.7
11595,Male,4,1,75.18,2.54
11596,Male,4,3,93.84,2.83
11597,Female,5,1,98.81,3.95
11598,Female,4,3,74,2.36
11599,Female,4,3,83.72,3.17
11600,Female,5,1,91.54,3.68
11601,Male,5,2,91.45,2.93
11602,Male,5,2,92.72,2.87
11603,Female,4,4,77,3.74
11604,Male,5,2,96.72,2.81
11605,Female,4,3,84,2.94
11606,Female,4,1,72.5,3.86
11607,Female,4,4,86,3.2
11608,Female,4,1,93.27,3.44
11609,Female,4,3,74.81,3.3
11610,Male,4,3,60,2.7
11611,Male,4,4,80,3.13
11612,Female,4,1,78.09,3.87
11613,Female,5,1,98.63,3.94
11614,Male,4,1,93,3.73
11615,Female,4,4,73.6,3.11
11616,Male,4,3,87.9,2.87
11617,Female,4,2,92.72,3.21
11618,Male,4,3,79.9,3.26
11619,Female,4,2,92,3.4
11620,Female,4,1,77.45,3.4
11621,Female,4,2,78.27,3.59
11622,Male,4,1,55.36,3.56
11623,Female,4,1,82.84,2.65
11624,Female,4,1,89.81,3.46
11625,Male,4,1,98,3.35
11626,Female,4,3,91.45,3.57
11627,Male,4,2,98.9,3.61
11628,Male,4,3,92.27,2.63
11629,Male,4,1,92.5,3.71
11630,Male,4,2,90.81,3.35
11631,Male,4,3,91.96,3.01
11632,Male,4,4,86.63,3.48
11633,Male,4,2,85.27,3.19
11634,Female,4,4,87.27,3.71
11635,Female,4,2,91.45,3.63
11636,Male,4,4,62,2.7
11637,Female,4,2,92.18,3.74
11638,Male,5,3,95,2.38
11639,Female,4,3,85.9,3.11
11640,Female,4,3,80.72,3.45
11641,Male,4,2,98.81,3.38
11642,Female,4,1,96.18,3.36
11643,Male,5,4,79,2.43
11644,Male,4,1,83.8,3.36
11645,Male,4,3,87,2.75
11646,Female,4,2,80.84,3
11647,Male,5,3,81,2.31
11648,Male,5,3,92.09,2.81
11649,Male,4,2,85.81,2.7
11650,Male,4,1,80,3.13
11651,Male,4,2,83.63,3.42
11652,Female,4,2,72.9,2.81
11653,Female,5,3,85.45,2.39
11654,Male,4,1,93.63,3.43
11655,Female,4,1,78.09,3.56
11656,Male,4,3,93.73,2.49
11657,Female,4,1,77.23,1.84
11658,Female,4,1,82,2.98
11659,Male,4,1,82.82,2.85
11660,Female,5,3,89.82,2.67
11661,Male,4,2,70.27,2.6
11662,Male,4,1,51.72,3.01
11663,Male,4,2,54.69,3.23
11664,Female,4,2,85,2.99
11665,Male,4,1,83.28,3.8
11666,Female,4,2,90,3
11667,Female,4,2,93.09,3.83
11668,Female,4,3,81.5,2.81
11669,Female,4,3,77.45,2.71
11670,Male,5,1,91.63,3.68
11671,Female,4,1,97,3.56
11672,Female,4,2,78.81,3.21
11673,Female,4,2,95.54,3.69
11674,Male,4,3,79.63,3.12
11675,Female,4,3,83,2.95
11676,Female,4,3,91.64,3.89
11677,Male,4,1,92.81,3.64
11678,Female,4,4,90.18,3.54
11679,Male,4,3,83,3.22
11680,Male,4,2,94,3.66
11681,Male,4,1,92,3.32
11682,Male,4,1,66.7,3.79
11683,Female,4,1,91.81,2.85
11684,Female,4,2,86,2.77
11685,Female,4,4,74,3.4
11686,Female,4,1,98.81,3.95
11687,Male,4,2,99.27,3.68
11688,Male,4,2,87,3.41
11689,Female,4,2,97.7,3.4
11690,Male,4,3,92.81,3.58
11691,Female,4,2,76.89,3.16
11692,Male,4,3,86.18,2.76
11693,Male,4,1,90,3.33
11694,Female,4,3,68.9,3.35
11695,Female,4,2,81.81,3.4
11696,Female,4,2,98.6,3.89
11697,Male,4,1,85.18,3.44
11698,Male,4,1,80.08,3
11699,Female,4,3,62,3.7
11700,Male,4,1,89.45,3.6
11701,Male,4,1,95.18,3.81
11702,Female,4,2,90,3.7
11703,Male,4,2,90,3.33
11704,Female,4,4,70,3.45
11705,Male,5,1,65.72,2.72
11706,Male,4,4,79.54,3.35
11707,Male,4,2,93,3.42
11708,Female,5,4,87.6,2.85
11709,Female,5,4,84.5,2.9
11710,Female,4,1,85.36,3.45
11711,Female,4,4,70.09,3.37
11712,Female,4,1,75.09,3.3
11713,Female,4,4,91.2,3.92
11714,Female,4,1,88.36,3.56
11715,Female,4,3,92.09,3.5
11716,Male,4,1,90.36,2.86
11717,Female,5,5,84.72,2.99
11718,Female,4,4,89.76,3.42
11719,Female,5,2,98.8,2.73
11720,Male,4,4,69,2.87
11721,Female,4,1,87,3.16
11722,Male,5,1,99.27,3.96
11723,Male,4,3,76.72,3.15
11724,Female,4,1,76.27,3.69
11725,Female,4,4,82.36,3.7
11726,Male,5,3,79.79,2.45
11727,Male,5,2,96.9,2.93
11728,Female,4,2,97.8,3.93
11729,Male,5,1,98.82,3.95
11730,Female,4,2,85.36,3.6
11731,Male,4,3,89,3.39
11732,Female,4,1,81.81,3.32
11733,Female,4,4,89.27,3.54
11734,Female,4,2,90.27,3.7
11735,Female,4,2,97.9,3.95
11736,Female,4,1,70,3.74
11737,Male,4,1,88.9,3.58
11738,Male,4,2,78.4,3.04
11739,Female,4,4,75.45,3.51
11740,Male,4,3,81.82,3.14
11741,Female,4,2,67,3.41
11742,Male,4,1,92,3.69
11743,Female,4,2,99.81,3.49
11744,Female,4,2,95,3.98
11745,Female,4,1,96.55,3.86
11746,Female,4,1,90.81,3.02
11747,Female,4,2,82.82,3.56
11748,Male,4,2,90.7,2.79
11749,Female,4,4,88,3.36
11750,Female,4,2,86.54,3.71
11751,Female,4,1,81.63,4
11752,Male,4,1,67.8,2.57
11753,Female,4,2,84,2.75
11754,Female,4,1,73.77,1.63
11755,Female,4,1,93.54,3.75
11756,Male,4,4,58.63,2.22
11757,Female,4,1,88.18,3.33
11758,Female,4,2,80,3.8
11759,Female,4,4,55,3.09
11760,Female,4,2,95,3.56
11761,Female,4,1,98,3.59
11762,Male,4,4,86.63,2.97
11763,Male,4,2,91.09,3.65
11764,Male,4,1,97.45,3.9
11765,Male,4,1,66.72,2.76
11766,Male,5,1,77.81,3.17
11767,Female,4,1,56.64,1.87
11768,Male,4,2,83.53,3.32
11769,Female,4,2,83.7,3.45
11770,Female,4,3,84,2.5
11771,Female,4,3,86.18,3.16
11772,Female,4,1,79.09,3.38
11773,Female,5,4,82,3.11
11774,Female,4,1,75.18,3.07
11775,Male,4,1,81.18,3.29
11776,Male,4,4,78.63,3.57
11777,Female,4,1,90.9,3.56
11778,Female,4,2,87,3.27
11779,Male,4,3,86.75,3.13
11780,Female,5,2,93.63,2.92
11781,Male,4,2,88.72,3.54
11782,Male,5,4,84.76,2.29
11783,Female,4,1,97.36,3.24
11784,Female,4,2,96.81,3.9
11785,Female,4,3,85.76,3.54
11786,Male,4,3,86.72,2.82
11787,Female,4,2,89.18,3.91
11788,Female,4,3,90.5,3.83
11789,Female,4,1,83.36,3.37
11790,Female,4,3,92.64,3.45
11791,Male,4,2,77,3.08
11792,Female,5,1,99,1.31
11793,Male,4,1,73.48,3.82
11794,Female,4,1,91.9,3.4
11795,Female,4,1,98,3.92
11796,Female,5,4,95.76,2.51
11797,Male,4,4,89.8,3.42
11798,Male,4,2,95,3.53
11799,Female,4,2,95.7,3.74
11800,Male,5,1,98.45,3.93
11801,Male,4,2,93.54,2.85
11802,Female,5,2,91,2.66
11803,Female,4,3,70.18,3.47
11804,Male,4,4,82.63,3.24
11805,Male,5,2,87.18,2.61
11806,Male,4,3,85.63,2.86
11807,Male,4,3,62,3.03
11808,Female,4,2,63.72,3
11809,Male,4,4,78.45,3.07
11810,Male,4,2,82.9,3.69
11811,Female,4,2,85,2.94
11812,Male,4,2,99.63,2.84
11813,Female,4,2,98.6,3.73
11814,Male,4,3,87,3.86
11815,Female,4,2,99.18,3.62
11816,Female,4,1,89.27,3.45
11817,Female,4,1,79.8,3.24
11818,Female,4,1,80.8,3.25
11819,Female,4,1,82.36,3.7
11820,Male,4,1,66.36,3.12
11821,Female,4,1,87.9,3.74
11822,Male,4,2,64.45,3.41
11823,Female,4,2,95.45,4
11824,Female,4,1,80.9,3.89
11825,Male,4,3,89.81,2.92
11826,Male,4,3,84.9,3.69
11827,Male,4,2,76,3.05
11828,Female,4,1,82.36,3.34
11829,Female,4,1,95.9,3.84
11830,Female,4,1,84.54,3.4
11831,Male,5,1,93.36,3.74
11832,Female,4,1,94.09,3.79
11833,Male,4,2,88.55,3.4
11834,Female,4,4,81.18,3.45
11835,Male,4,2,80.2,3.03
11836,Male,4,3,88.9,3.78
11837,Male,4,1,74.27,3.21
11838,Female,4,2,99.18,3.82
11839,Male,4,2,69,3.28
11840,Male,4,3,74,2.19
11841,Male,4,4,77,2.57
11842,Male,4,2,67.36,3.2
11843,Male,4,1,85.92,3.13
11844,Female,4,1,95.91,3.84
11845,Male,4,1,86.5,3.49
11846,Male,5,2,89.54,2.68
11847,Male,4,1,58.63,2.46
11848,Female,5,2,96.81,2.63
11849,Male,4,1,87.89,3.19
11850,Male,4,3,54,3.23
11851,Female,4,3,82.78,3.04
11852,Female,4,2,75.6,3.4
11853,Female,4,3,79.45,3.47
11854,Female,4,4,81.3,3.35
11855,Male,4,2,91.9,2.96
11856,Male,4,4,81.81,3.14
11857,Male,4,2,57.63,2.21
11858,Male,4,1,85.27,3.36
11859,Female,4,1,88.54,3.57
11860,Female,4,3,51.36,2.59
11861,Female,4,2,98.18,3.41
11862,Male,4,2,68.61,3.1
11863,Female,4,1,75,2.77
11864,Female,4,1,86.9,4
11865,Male,4,1,89,3.58
11866,Male,4,1,82.09,3.08
11867,Male,4,1,88,2.95
11868,Female,4,1,49.36,2.9
11869,Female,4,1,73.9,3.82
11870,Female,4,2,86,3.33
11871,Female,4,1,93.9,3.43
11872,Female,4,2,76,3.65
11873,Female,4,4,85.27,3.48
11874,Male,4,1,64.56,3
11875,Female,4,4,67,2.36
11876,Female,4,1,82.9,3.13
11877,Female,4,2,50.36,3.62
11878,Female,4,2,87.81,3.35
11879,Female,4,2,88.18,3.6
11880,Male,4,1,85.85,2.54
11881,Female,4,1,86.18,3.48
11882,Female,4,2,91.45,3.89
11883,Female,4,2,75.8,3.28
11884,Male,4,3,60,3.23
11885,Male,4,1,64,2.97
11886,Female,4,2,91.27,3.65
11887,Female,4,2,92,3.24
11888,Male,5,3,93.4,3.12
11889,Female,4,2,45.18,3.49
11890,Male,4,1,61.9,2.68
11891,Female,5,4,90.2,2.93
11892,Male,4,3,50.9,2.83
11893,Female,4,4,81.6,3.67
11894,Female,5,4,92.2,2.65
11895,Male,4,2,82.81,3.43
11896,Female,4,1,53.9,3.55
11897,Female,4,3,87.81,3.69
11898,Female,4,3,81.63,3
11899,Male,4,3,84.09,2.82
11900,Male,4,2,81.2,3.45
11901,Female,4,1,80.81,3.28
11902,Female,4,1,67,3.48
11903,Female,4,2,97.8,3.78
11904,Female,4,1,94.82,3.8
11905,Male,4,2,89.11,3.9
11906,Male,5,2,96.45,2.72
11907,Male,5,3,92.72,3.08
11908,Male,4,2,80.72,3.18
11909,Male,4,1,85.9,2.78
11910,Male,4,3,87.27,2.58
11911,Female,4,1,97.4,3.74
11912,Male,4,4,63.27,2.89
11913,Male,4,1,92.63,3.72
11914,Male,4,4,73,3.49
11915,Female,4,4,80.72,3.5
11916,Female,4,4,84.27,3.29
11917,Female,4,2,86,3.27
11918,Male,4,1,92.7,2.6
11919,Female,4,2,54.54,2.66
11920,Male,4,1,60.14,2.46
11921,Male,5,3,89.45,2.54
11922,Female,4,2,55.27,2.88
11923,Male,4,1,80.5,3.27
11924,Female,4,1,93,3.76
11925,Male,4,1,80.27,2.31
11926,Female,4,2,84,1.87
11927,Male,4,1,80.45,3.27
11928,Male,4,2,87.63,2.53
11929,Female,4,2,72.72,3.11
11930,Male,4,3,75,3.01
11931,Female,5,4,84.27,3.57
11932,Female,4,3,78,3.47
11933,Male,4,2,89.36,3.47
11934,Male,4,4,91.18,2.88
11935,Female,4,1,98,2.91
11936,Female,4,4,74.73,3.69
11937,Male,4,2,94.63,3.72
11938,Female,4,3,68,3.38
11939,Male,4,2,98.54,3.8
11940,Female,4,1,80.81,3.54
11941,Female,4,2,96.1,3.63
11942,Male,5,1,94.45,3.78
11943,Female,4,1,90.5,4
11944,Male,4,1,72.4,2.96
11945,Female,4,3,86.9,2
11946,Male,5,1,94,3.77
11947,Male,5,3,87.91,2.85
11948,Female,4,1,95.9,3.66
11949,Female,4,1,80,3.95
11950,Female,4,1,94,3.86
11951,Male,4,2,75.09,3.43
11952,Female,4,1,78.09,3.18
11953,Female,4,4,81,3.34
11954,Male,4,3,72.45,3.33
11955,Female,4,3,66.45,3.06
11956,Female,4,3,71.9,3.91
11957,Male,4,2,76.63,2.59
11958,Female,4,1,97.3,3.84
11959,Female,4,3,82,3.51
11960,Male,4,1,70.27,3.76
11961,Male,4,2,91.92,3.59
11962,Male,4,2,69.81,2.53
11963,Male,4,1,71.6,2.94
11964,Female,4,1,89.27,3.46
11965,Female,4,2,63,3.38
11966,Female,4,3,84.27,3.53
11967,Female,4,3,88.81,3.73
11968,Female,4,3,92.45,3.67
11969,Male,4,4,68,2.08
11970,Female,4,3,89.09,3.48
11971,Female,4,2,90,3.31
11972,Male,4,2,74,2.23
11973,Female,5,4,85,2.42
11974,Female,4,1,84.9,3.94
11975,Male,4,2,80.9,3.15
11976,Male,5,3,83.09,2.64
11977,Female,4,1,95.27,3.77
11978,Male,4,1,83.55,3.38
11979,Male,5,4,81.27,2.47
11980,Female,4,1,95.45,3.95
11981,Female,4,3,86.7,3.14
11982,Female,4,1,81,3.89
11983,Male,4,3,84.18,3.78
11984,Female,4,4,86.45,3.57
11985,Female,4,3,92.65,3.34
11986,Female,4,2,99.45,3.4
11987,Male,4,2,77.27,2.72
11988,Male,4,2,94,3.54
11989,Male,4,3,68.27,3.18
11990,Female,4,2,68.72,3.62
11991,Female,4,2,63.75,2.65
11992,Female,4,4,70,3.53
11993,Male,4,3,63.63,2.44
11994,Male,5,4,79.27,2.3
11995,Male,5,1,96.73,3.87
11996,Male,4,2,79.36,2.3
11997,Male,4,2,60.9,3.11
11998,Female,4,2,87,2.86
11999,Female,4,2,90,3.36
12000,Male,4,4,83.18,2.89
12001,Male,4,4,66.27,3.08
12002,Male,4,4,71.36,3.38
12003,Female,4,1,91.91,3.19
12004,Male,5,1,88.27,3.56
12005,Male,4,3,79.77,3.2
12006,Male,4,4,66.95,2.83
12007,Female,4,1,94.54,3.88
12008,Male,4,2,90.6,2.69
12009,Female,4,3,67.7,2.27
12010,Male,5,4,82.27,2.44
12011,Female,4,4,77.9,3.32
12012,Female,4,4,72.36,3.46
12013,Female,4,1,92.36,2.64
12014,Female,4,3,92.8,3.36
12015,Female,4,1,80.72,3.28
12016,Female,4,1,61.48,2.45
12017,Female,5,4,76,2.33
12018,Female,4,2,65.9,2.88
12019,Female,4,3,88.63,3.17
12020,Male,4,1,82.5,3.34
12021,Male,4,3,81,3.4
12022,Male,4,2,84,2.01
12023,Female,4,1,67.54,3.54
12024,Male,4,2,97.9,3.69
12025,Male,4,2,91.81,2.52
12026,Male,4,3,76.08,3.61
12027,Female,4,1,90.72,4
12028,Female,4,3,69,3.83
12029,Male,4,2,72.36,2.41
12030,Female,4,2,89.81,2.66
12031,Female,4,2,98,3.92
12032,Female,4,1,96,3.72
12033,Female,4,2,77,2.89
12034,Female,4,4,79,3.64
12035,Male,4,2,96.81,2.97
12036,Male,4,4,66,2.91
12037,Male,5,2,98.36,2.81
12038,Female,4,3,93.91,3.56
12039,Female,4,1,86.63,3.63
12040,Male,4,2,88.72,2.77
12041,Male,4,3,93,3.19
12042,Female,4,1,96,3.39
12043,Female,4,2,84,3.46
12044,Female,4,1,65,2.72
12045,Male,4,1,70.91,2.91
12046,Female,4,4,90.09,3.79
12047,Male,4,2,73.36,3.4
12048,Female,5,5,85,3.65
12049,Female,4,3,93.91,3.62
12050,Female,4,3,61.6,2.83
12051,Female,4,1,95.54,3.74
12052,Female,4,2,87.09,3.74
12053,Male,4,1,71.36,2.74
12054,Male,4,4,74,2.74
12055,Male,4,4,92.09,3.35
12056,Female,4,2,92.54,3.21
12057,Male,5,1,91,3.66
12058,Female,4,2,80,3.33
12059,Male,4,2,65.72,2.6
12060,Male,4,2,85.72,3.11
12061,Male,4,2,94.09,3.86
12062,Female,4,1,92.45,3.71
12063,Female,4,2,80,2.94
12064,Male,4,3,92.09,3.64
12065,Male,4,2,85.09,2.27
12066,Male,4,1,98.94,3.93
12067,Male,4,1,85.82,2.88
12068,Female,4,1,85.64,3.64
12069,Male,4,3,87.83,2.99
12070,Female,4,3,87,3.72
12071,Female,4,1,89.9,3.55
12072,Female,4,2,97.12,3.54
12073,Male,4,2,56.36,2.37
12074,Male,4,4,73.36,3.08
12075,Male,4,1,86.53,2.28
12076,Female,4,3,52,2.21
12077,Female,4,2,89,3.72
12078,Female,4,3,93.8,3.08
12079,Female,4,1,97.63,3.9
12080,Female,4,1,97.63,3.24
12081,Female,5,3,93.27,2.87
12082,Female,4,2,93.45,3.59
12083,Female,4,1,97.5,3.68
12084,Male,4,3,67,2.92
12085,Female,4,1,97.9,3.91
12086,Male,4,2,92.72,3.21
12087,Female,4,1,59.63,2.69
12088,Female,4,3,90.5,3.64
12089,Female,4,2,87.54,3.4
12090,Female,4,2,91,3.34
12091,Male,5,2,94,2.73
12092,Male,4,2,96.46,3.36
12093,Male,4,1,89.6,3.02
12094,Female,4,2,99.36,3.87
12095,Male,5,3,82.9,2.54
12096,Female,4,3,87.7,3.52
12097,Female,4,1,90.36,3.48
12098,Female,4,4,81.68,3.32
12099,Female,4,4,87.36,3.71
12100,Male,4,4,86,3.02
12101,Male,5,1,87.91,3.54
12102,Female,4,3,89.6,3.85
12103,Male,4,4,85.25,3.3
12104,Female,4,2,98,3.34
12105,Male,5,3,78.54,2.33
12106,Male,4,3,93.63,3.65
12107,Female,4,3,90.45,3.62
12108,Female,4,2,94.56,3.34
12109,Male,4,3,80,3.77
12110,Female,4,4,88,3.78
12111,Male,4,3,88.72,3.11
12112,Male,5,3,90.5,2.62
12113,Female,4,2,90,3.31
12114,Male,4,2,67.5,2.19
12115,Female,4,2,80.94,3.8
12116,Female,4,2,85,3.1
12117,Male,5,1,90.18,3.63
12118,Female,4,3,79.9,3.46
12119,Female,4,2,83.09,3.65
12120,Male,4,3,81.82,3.55
12121,Male,4,2,73.2,3.56
12122,Male,4,1,93.18,3.74
12123,Female,4,1,78.09,2.74
12124,Female,4,1,97.8,3.91
12125,Male,4,2,78.81,3
12126,Female,4,2,98,2.14
12127,Female,4,4,91,3.61
12128,Male,4,3,87.5,3.23
12129,Female,4,1,82.78,3.22
12130,Male,4,2,62.56,1.14
12131,Male,4,2,81.18,2.27
12132,Female,4,4,82.54,3.56
12133,Male,4,1,96.73,3.87
12134,Female,4,3,94.5,3.22
12135,Female,4,2,98.3,3.91
12136,Male,4,2,96.72,2.38
12137,Male,4,1,68.9,1.83
12138,Female,4,4,81,3.43
12139,Female,4,2,85.54,3.8
12140,Female,4,2,81,3.39
12141,Male,4,1,85.5,3.2
12142,Female,4,1,81.54,2.23
12143,Male,4,1,79.18,3.1
12144,Male,4,2,67.8,2.84
12145,Male,4,2,75.7,3.12
12146,Female,4,1,93.09,3.45
12147,Female,4,2,92.73,3.99
12148,Female,4,4,94.83,3.04
12149,Female,4,2,53.71,3.17
12150,Male,5,2,90.27,2.63
12151,Female,5,2,86,3.08
12152,Female,4,4,65,3.4
12153,Female,4,2,82.54,3.35
12154,Male,4,1,84.81,3.43
12155,Male,4,2,98.27,3.56
12156,Male,4,2,50.45,2.56
12157,Male,4,1,72.45,2.92
12158,Female,4,4,87.27,3.62
12159,Female,4,2,83.81,3.76
12160,Male,4,3,69.45,2.97
12161,Male,4,3,58.18,2.13
12162,Male,4,4,86.54,3.1
12163,Male,5,2,79.6,2.47
12164,Male,5,2,56.18,3.44
12165,Male,5,2,98.81,2.78
12166,Female,4,1,79,3.21
12167,Male,4,1,97.9,3.61
12168,Male,4,1,62.64,2.39
12169,Female,4,1,95.5,3.82
12170,Female,4,1,93,2.65
12171,Male,4,1,91.91,3.69
12172,Male,4,1,92,3.47
12173,Female,4,2,93.27,3.66
12174,Male,4,2,67.09,3.3
12175,Female,4,3,91.09,3.54
12176,Female,4,2,90.09,3.79
12177,Female,4,2,81,2.5
12178,Female,4,1,74.74,3.06
12179,Female,4,4,89.27,3.41
12180,Male,4,3,77.77,2.97
12181,Female,4,2,77.6,2.96
12182,Male,5,4,85.72,2.47
12183,Male,4,1,83.18,3.8
12184,Female,4,1,83.73,3.62
12185,Male,4,2,87.12,3.39
12186,Male,4,4,74.98,3.32
12187,Female,4,3,92.63,3.5
12188,Male,4,2,92.88,2.2
12189,Female,4,2,86.93,3.24
12190,Female,5,1,99,3.95
12191,Male,5,1,99.27,3.96
12192,Male,4,1,84.63,2.6
12193,Female,5,2,95,2.84
12194,Male,4,3,96.86,3.06
12195,Male,4,3,77.81,3.11
12196,Male,4,2,94.91,3.46
12197,Male,4,1,89.45,3.2
12198,Female,4,4,85.9,3.42
12199,Female,4,1,76.18,3.19
12200,Male,4,1,54.9,2.32
12201,Male,4,2,97.81,3.13
12202,Female,4,3,78.69,3.3
12203,Female,4,4,78.88,2.8
12204,Female,5,3,91.63,2.38
12205,Female,4,2,78.18,3.21
12206,Male,4,3,84.18,3.85
12207,Female,4,4,72.9,3.28
12208,Female,4,1,87.63,3.12
12209,Female,4,3,88.9,3.36
12210,Female,4,2,76.68,3.9
12211,Female,4,4,88.45,3.49
12212,Male,4,2,87.9,2.32
12213,Male,4,2,89.54,1.97
12214,Female,4,2,76,2.86
12215,Female,4,3,84.27,3.72
12216,Male,4,1,60,2.6
12217,Male,4,3,84.54,3.36
12218,Male,4,2,91,3.58
12219,Female,4,2,58.89,2.49
12220,Female,4,4,83,3.82
12221,Male,4,2,81.54,3.54
12222,Female,4,3,83.81,3.82
12223,Male,4,3,84,3.25
12224,Female,4,1,86,2.66
12225,Female,4,1,88.6,3.68
12226,Female,4,1,71,3
12227,Female,4,3,92.18,3.58
12228,Female,4,3,86.5,3.95
12229,Female,4,2,81.63,4
12230,Male,4,4,89,2.83
12231,Female,4,1,72.84,2.96
12232,Female,4,3,84.84,2.73
12233,Male,4,1,99.09,3.96
12234,Female,4,1,87,3.51
12235,Male,5,1,99,3.95
12236,Male,4,3,60.3,2.75
12237,Male,4,1,65,3.38
12238,Male,5,1,99.36,3.97
