ID,Gender,Program Duration,Year of Student,HSC Percentage,CGPA
466,Female,4,3,90.91,3.32
467,Male,4,2,87.09,3.51
468,Female,4,1,80.72,3.28
469,Male,4,2,99.63,3.6
470,Male,4,1,89.36,3.54
471,Male,4,3,80.14,2.52
472,Female,4,2,96.8,3.69
473,Female,4,1,89.64,3.57
474,Female,4,1,96.27,3.78
475,Male,4,2,81.68,2.48
476,Female,5,2,98.54,3.13
477,Female,4,3,88,3.43
478,Female,4,1,89.9,3.14
479,Male,4,2,68,2.84
480,Male,4,4,78.72,3.3
481,Female,4,3,85.63,3.07
482,Male,4,4,77.36,2.89
483,Male,4,1,81.36,3.18
484,Female,4,2,99.97,3.7
485,Female,4,1,74.81,3.06
486,Male,4,1,68.27,2.82
487,Male,5,4,74.09,2.45
488,Female,4,1,61.45,2.74
489,Male,4,1,85.18,3.44
490,Female,4,1,82.4,3.61
491,Male,4,4,77.7,3.18
492,Male,4,4,69.72,2.56
493,Female,4,4,87.55,3.74
494,Male,4,1,75.81,3.33
495,Female,4,2,55,3
496,Female,4,1,92.45,3.6
497,Female,4,1,92.73,3.88
498,Female,4,4,85.09,3.62
499,Male,4,2,79.9,2.98
500,Male,4,2,73.27,3.82
501,Male,4,3,83.27,2.81
502,Male,4,1,89.76,3.5
503,Male,4,3,81.9,2.89
504,Male,4,2,80.72,3.82
505,Female,4,1,87.87,3.54
506,Female,4,4,78.18,3.58
507,Male,4,3,69.9,3.17
508,Female,4,4,75.01,3.17
509,Male,4,1,82.04,3.2
510,Male,4,4,84.45,2.78
511,Male,5,4,96,2.63
512,Female,4,1,52,3.74
513,Female,4,3,80,3.28
514,Male,4,3,84.62,3.31
515,Female,4,1,50.58,3.46
516,Male,4,1,77.09,3.02
517,Female,4,1,94.72,3.79
518,Female,4,1,82.36,3.88
519,Male,4,1,55,1.7
520,Female,4,4,91.4,3.87
521,Female,4,1,90.97,3.64
522,Male,4,3,82.55,3.53
523,Male,4,3,80,3.57
524,Male,5,4,76.18,2.37
525,Female,4,1,90.6,3.14
526,Male,5,4,67.82,2.37
527,Female,5,4,81.1,2.45
528,Female,4,3,82.18,3
529,Female,4,3,92.45,2.51
530,Male,4,2,82.7,3.6
531,Female,4,2,98.09,3.88
532,Female,4,1,94,3.77
533,Female,4,1,70.72,3.74
534,Male,4,2,98.27,3.76
535,Male,5,2,95.5,2.7
536,Male,5,1,97.64,3.9
537,Female,4,1,95.09,3.96
538,Male,4,2,66.72,3.67
539,Female,5,3,88.54,2.97
540,Female,4,1,84.18,3.2
541,Female,4,1,82.81,3.35
542,Female,4,2,96.9,3.57
543,Male,4,4,89.5,2.38
544,Male,4,3,81.09,3.75
545,Female,4,1,84.63,3.42
546,Male,5,1,98,3.92
547,Female,5,3,92.88,2.66
548,Female,4,1,80,3.74
549,Male,4,1,84.76,3.95
550,Female,4,2,95.8,3.58
551,Female,5,2,94.93,2.98
552,Female,4,1,70,2.81
553,Female,4,2,84.1,3.93
554,Male,5,1,88.9,3.58
555,Female,4,1,94,3.6
556,Male,4,1,68.45,3.74
557,Male,4,4,80.63,3.36
558,Female,4,3,81,3.62
559,Female,4,2,97.73,3.82
560,Male,4,1,71.27,3.66
561,Female,4,2,88.72,2.37
562,Female,4,1,82.09,3.33
563,Female,4,2,82.8,3.11
564,Female,4,3,68.2,3.29
565,Male,4,2,56.46,3.17
566,Female,4,2,83.36,3.35
567,Female,4,1,98.18,3.92
568,Female,4,1,76.36,3.78
569,Female,4,3,72.27,3.53
570,Male,4,1,78.36,3.19
571,Female,4,4,83,3.63
572,Female,4,2,68.8,3.11
573,Male,4,2,91.9,3.48
574,Female,5,1,78.27,3.19
575,Male,4,4,80.27,3.26
576,Female,4,2,88,3.64
577,Female,4,1,95,3.8
578,Male,4,3,75.36,2.24
579,Female,4,3,88.45,3.67
580,Female,4,1,88.72,3.65
581,Male,4,4,83.2,3.36
582,Male,4,1,93.27,2.18
583,Female,4,4,85.27,3.44
584,Female,4,3,76,3.36
585,Female,4,2,98,3.92
586,Female,4,3,82.3,2.93
587,Female,4,2,86.18,3.48
588,Male,4,2,61.32,3.01
589,Female,4,3,59.09,2.79
590,Female,4,1,84.09,3.4
591,Female,4,3,79.36,3.57
592,Female,4,4,79.36,3.7
593,Female,5,1,96.9,3.88
594,Male,4,3,83.36,3.51
595,Male,4,1,89.45,3.6
596,Male,4,2,81.81,3.21
597,Female,4,2,98,3.94
598,Female,4,2,84.09,2.85
599,Female,4,3,93.2,3.46
600,Male,4,1,86.18,3.86
601,Male,4,3,90.91,2.74
602,Female,4,4,80,3.55
603,Female,4,1,80.45,3.27
604,Female,4,2,97.72,3.72
605,Male,4,2,69.27,2.54
606,Male,4,1,64.73,3.42
607,Female,4,1,95,3.09
608,Female,4,3,79.5,2.79
609,Male,5,1,97.91,3.91
610,Female,4,1,82.63,3.65
611,Male,4,2,70.7,2.2
612,Male,4,4,81,3.04
613,Male,4,3,72,2.5
614,Male,4,4,83.36,2.84
615,Male,4,1,74.18,3.28
616,Male,5,3,76.88,2.61
617,Male,4,1,94.01,3.65
618,Male,4,2,83.81,2.99
619,Male,4,4,71.36,2.43
620,Female,4,2,72,3.5
621,Male,5,3,88.75,2.77
622,Male,5,2,91.18,2.67
623,Male,4,3,86.18,3.18
624,Male,4,1,99.18,3.96
625,Male,4,2,85.63,3.22
626,Female,5,3,94.36,2.92
627,Female,4,3,88.3,3.69
628,Female,4,3,78.54,3.56
629,Male,4,3,91.72,2.96
630,Female,5,3,88,2.86
631,Female,4,1,81,3.48
632,Male,4,2,63.36,2.52
633,Male,4,2,66.9,3.07
634,Male,4,4,79.86,3.56
635,Female,4,1,86.36,3.49
636,Male,4,2,84.45,3.3
637,Female,4,3,64,3.21
638,Female,4,4,84.6,3.37
639,Female,4,1,88.36,3.56
640,Male,4,4,79.09,2.38
641,Male,5,2,92.54,2.91
642,Male,4,2,89.52,3.2
643,Female,4,4,84.09,3.69
644,Female,5,2,99.27,3.23
645,Female,4,1,87.09,3.36
646,Female,4,1,98.63,3.86
647,Male,4,3,87.36,3.36
648,Female,5,5,88,3.7
649,Female,4,2,97.36,3.26
650,Female,4,2,90.27,3.65
651,Male,4,1,78.54,3.2
652,Male,4,1,83.72,3.39
653,Male,4,2,82,3.55
654,Female,4,2,93.72,2.51
655,Female,4,1,63.64,2.64
656,Female,4,2,99.45,3.47
657,Male,4,2,83.27,3.08
658,Male,4,4,74.09,3.22
659,Female,4,3,90.72,3.1
660,Female,4,2,92.82,3.62
661,Female,4,2,90.72,3.85
662,Male,4,1,73.27,3
663,Male,5,1,89.45,3.6
664,Female,4,4,86.9,3.69
665,Male,4,3,81.27,3.2
666,Female,4,2,97.45,3.47
667,Female,4,2,66.54,2.97
668,Male,4,1,87,3.09
669,Male,5,2,77.72,3.16
670,Male,4,2,88.72,2.88
671,Female,4,2,78.81,3.57
672,Female,4,4,76,3.58
673,Female,4,2,68,3.47
674,Male,4,3,77.18,2.85
675,Female,4,3,90.5,3.09
676,Female,5,3,85.27,2.68
677,Male,4,2,65.72,2.97
678,Female,4,2,62.9,3.23
679,Male,4,1,83.9,3.39
680,Female,4,3,93.45,3.56
681,Male,5,5,90.87,2.45
682,Female,4,4,79.72,3.71
683,Female,4,1,97.91,3.91
684,Female,4,4,77.64,3.08
685,Female,4,3,85.9,3.49
686,Female,4,1,85.36,3.78
687,Female,4,2,72.79,3.33
688,Female,4,3,82,3.05
689,Female,4,1,73.45,2.99
690,Female,4,3,91.63,3.57
691,Female,4,3,83,3.37
692,Female,4,1,83.36,3.94
693,Male,5,3,87.03,2.4
694,Male,4,4,88.5,3
695,Female,4,1,83.72,3.39
696,Female,4,4,79.73,3.76
697,Female,4,1,70.73,1.99
698,Female,4,1,60,2.3
699,Female,4,1,88,2.34
700,Male,4,1,87,3.37
701,Male,4,3,90.6,3.18
702,Female,4,4,90.09,3.77
703,Female,4,3,90.3,3.72
704,Female,4,4,71.81,3.69
705,Female,5,2,99.8,3
706,Female,5,1,94.45,3.78
707,Female,4,2,95,2.16
708,Female,4,2,93.4,3.27
709,Male,4,1,93.09,3.88
710,Male,4,3,92,3.96
711,Male,4,2,68.73,3.14
712,Male,5,1,98.18,3.92
713,Female,4,4,85.6,3.63
714,Male,4,4,81.1,1.9
715,Female,4,2,91.09,3.76
716,Female,4,3,76.27,3.56
717,Female,5,2,97.45,2.72
718,Male,4,3,80.72,3.53
719,Male,4,1,95.72,3.52
720,Female,4,3,89.82,3.82
721,Male,4,3,70.64,3.32
722,Male,4,2,70.02,3.15
723,Male,5,1,91.82,3.69
724,Female,4,2,94.87,3.26
725,Male,4,2,91,3.48
726,Male,4,4,80.72,3.54
727,Male,4,3,81.63,3.46
728,Female,4,3,80,3.23
729,Male,4,2,94.36,2.55
730,Male,5,2,93,2.5
731,Female,4,3,83,3.31
732,Male,4,4,86.63,3.75
733,Male,4,2,93,3.34
734,Female,4,1,73,3.94
735,Male,4,1,82.5,3.34
736,Female,4,2,73.67,3.12
737,Female,4,2,90.7,2.95
738,Female,4,3,56.3,2.97
739,Male,4,2,86.86,3.28
740,Female,4,1,78.81,3.74
741,Male,4,2,78,3.76
742,Male,4,1,70.81,2.22
743,Female,5,3,89,2.67
744,Female,4,2,99.45,3.9
745,Female,4,4,76,3.5
746,Male,5,2,96.6,2.5
747,Female,4,3,87.63,3.76
748,Male,5,1,94.54,3.8
749,Female,4,1,95.73,3.83
750,Female,4,2,60,3.13
751,Male,5,2,71.18,2.56
752,Female,4,2,88.09,3.65
753,Male,4,2,74,3.13
754,Male,4,2,98.45,3.29
755,Female,4,1,86.36,3.29
756,Female,4,2,82.63,3.5
757,Female,4,2,94,2.81
758,Male,4,3,67.3,2.82
759,Male,4,2,80.54,3.36
760,Female,4,2,96.6,3.39
761,Female,5,1,97.45,3.9
762,Female,4,1,83,3.54
763,Female,4,4,79.91,3.52
764,Female,4,2,92.72,2.86
765,Female,4,1,83.72,3.4
766,Female,4,1,79.91,3.3
767,Male,4,2,87.54,2.64
768,Female,5,2,69.63,2.47
769,Male,4,1,67.63,2.79
770,Female,4,1,84,2.74
771,Female,5,5,90.36,3.11
772,Female,4,4,77.63,3.12
773,Female,4,1,59.81,3.88
774,Male,4,2,99.45,3.3
775,Female,4,1,94.54,3.79
776,Female,5,1,93.64,3.75
777,Male,4,2,62.86,2.52
778,Female,4,1,87.72,3.54
779,Male,4,2,88.72,3.6
780,Male,4,4,78,3.29
781,Female,4,2,91.36,3.05
782,Female,5,1,99.18,3.96
783,Male,4,2,92.36,2.87
784,Female,4,4,84.09,3.3
785,Female,4,4,89,3.5
786,Female,4,3,79.71,3.14
787,Female,4,2,63.61,3.28
788,Male,4,1,77.63,3.87
789,Male,4,3,71,3.03
790,Female,4,2,96,3.49
791,Female,4,4,70.67,3.39
792,Female,4,1,71.6,3.55
793,Female,4,3,66.55,2.4
794,Female,5,2,94,3.21
795,Female,4,2,96.9,3.8
796,Male,4,2,87.09,2.64
797,Male,4,1,65.27,2.7
798,Female,4,3,92.81,3.88
799,Female,4,1,77.73,3.28
800,Male,4,2,97.81,3.52
801,Male,4,1,70.09,3.22
802,Male,4,1,78.05,1.83
803,Female,4,2,75.8,3.48
804,Female,4,2,61.36,3.06
805,Male,5,2,96.18,2.58
806,Male,4,3,88,2.38
807,Male,4,1,97.36,3.89
808,Male,4,4,79.9,3.32
809,Female,4,3,92.84,3.18
810,Male,5,2,96.9,2.61
811,Female,4,1,79,3.05
812,Male,4,4,63.9,2.26
813,Female,4,1,97.45,3.9
814,Male,4,3,69.45,2.31
815,Male,4,2,82.18,3.1
816,Female,4,1,93,3.04
817,Female,4,3,95.5,3.65
818,Female,4,3,84.36,3.7
819,Male,4,4,80.36,3.46
820,Female,4,2,94.18,3.71
821,Male,4,3,86.54,3.02
822,Male,4,3,68,2.77
823,Female,4,4,77.72,2.31
824,Female,4,1,70.9,2.98
825,Male,4,3,80,2.54
826,Female,4,1,85.54,3.66
827,Male,4,2,94.09,3.3
